ID	Name

25	Abgenutztes Kurzschwert
35	Gebogener Stab
36	Abgenutzter Streitkolben
37	Abgenutzte Axt
38	Rekrutenhemd
39	Rekrutenhose
40	Rekrutenstiefel
43	Knappenstiefel
44	Knappenhose
45	Knappenhemd
47	Straßenräuberschuhe
48	Straßenräuberhose
49	Straßenräuberhemd
51	Neophytenstiefel
52	Neophytenhose
53	Neophytenhemd
55	Lehrlingsstiefel
56	Lehrlingsrobe
57	Akolytenrobe
59	Akolytenschuhe
60	Mehrlagige Tunika
61	Zwergen-Lederhose
79	Zwergen-Stoffkniehose
80	Weiche fellgefütterte Schuhe
85	Schmutzige Lederweste
117	Zähes Stockfleisch
118	Schwacher Heiltrank
120	Straßenräuberhose
121	Straßenräuberstiefel
127	Fallenstellerhemd
128	Deprecated Tauren Trapper's Pants
129	Unverwüstliche Fallenstellerstiefel
139	Muskelprotzhose
140	Muskelprotzstiefel
147	Unverwüstliche Fallenstellerhose
148	Unverwüstliches Fallenstellerhemd
153	Primitiver Kilt
154	Primitiver Mantel
159	Erfrischendes Quellwasser
182	Garricks Kopf
193	Zerlumpte Stoffweste
194	Zerlumpte Stoffhose
195	Zerlumpte Stoffstiefel
200	Dicke Stoffweste
201	Dicke Stoffhose
202	Dicke Stoffschuhe
203	Dicke Stoffhandschuhe
209	Schmutzige Lederhose
210	Schmutzige Lederstiefel
236	Geschmeidige Lederrüstung
237	Geschmeidige Lederhose
238	Geschmeidige Lederstiefel
239	Geschmeidige Lederhandschuhe
285	Schuppenpanzer-Weste
286	Schuppenpanzer-Hose
287	Schuppenpanzer-Stiefel
414	Dalaranscharf
422	Zwergenmild
537	Glanzlose Frenzyschuppe
555	Raue Geierfedern
556	Bussardschnabel
647	Schicksal
710	Armschienen der Volksmiliz
711	Zerlumpte Stoffhandschuhe
714	Schmutzige Lederhandschuhe
718	Schuppenpanzer-Handschuhe
719	Hasenführer-Handschuhe
720	Muskelprotz-Handschuhe
723	Geiferzahnleber
724	Geiferzahnleberpastete
725	Gnolltatze
727	Schartiges Kurzschwert
728	Rezept: Westfall-Eintopf
729	Sehniges Geierfleisch
730	Murloc-Auge
731	Geiferzahnschnauze
732	Okraschote
733	Westfall-Eintopf
735	Medaillons von Rolf und Malakai
737	Wasser der Heiligen Quelle
738	Sack Gerste
739	Sack Korn
740	Sack Roggen
742	Ast eines Bergahorns
743	Verkohltes Eichenbündel
744	Thunderbrews Stiefelflachmann
745	Marshal McBrides Dokumente
748	Rüstungsgutschein der Stormwind-Armee
750	Zähe Wolfsfleischstücke
752	Rotes Sackleinen-Kopftuch
753	Dragonmaw-Kurzschwert
754	Kurzschwert der Rache
755	Geschmolzene Kerze
756	Tunnelhacke
763	Eisbedeckte Armschienen
765	Silberblatt
766	Gebördelter Streitkolben
767	Langer Bo-Stab
768	Holzfälleraxt
769	Brocken Eberfleisch
770	Spitzer Krokiliskenzahn
771	Gesplitterter Eberhauer
772	Große Kerze
773	Goldstaub
774	Malachit
776	Blutrache
777	Streunerzähne
778	Kobold-Ausgrabungshacke
779	Glänzende Seemuschelschale
780	Zerrissene Murlocflosse
781	Steingnoll-Hammer
782	Bemalte Gnollarmbinde
783	Leichter Balg
785	Maguskönigskraut
787	Glitschhautmakrele
789	Plumper Kampfhammer
790	Waldmannsaxt
791	Knorriger Eschenstab
792	Gestrickte Sandalen
793	Gestrickte Handschuhe
794	Gestrickte Hose
795	Gestrickte Tunika
796	Raue Lederstiefel
797	Raue Lederhandschuhe
798	Raue Lederhose
799	Raue Lederweste
804	Großer blauer Sack
805	Kleiner roter Beutel
809	Blutklinge
810	Hammer des Nordwindes
811	Axt des Tiefwaldes
812	Glimmender Brightwood-Stab
814	Fläschchen Öl
816	Kleine Handklinge
818	Tigerauge
820	Schneideklinge
821	Riverpaw-Lederweste
826	Derbe Riverpaw-Axt
827	Heimtückischer Totschläger
828	Kleiner blauer Beutel
829	Rotes Lederkopftuch
832	Silberner Defias-Gürtel
833	Lebensstein
835	Großes Seilnetz
837	Schwere gewirkte Rüstung
838	Schwere gewirkte Hose
839	Schwere gewirkte Handschuhe
840	Schwere gewirkte Schuhe
841	Furlbrows Taschenuhr
843	Gegerbte Lederstiefel
844	Gegerbte Lederhandschuhe
845	Gegerbte Lederhose
846	Gegerbtes Lederwams
847	Kettenpanzer-Rüstung
848	Kettenpanzer-Hose
849	Kettenpanzer-Stiefel
850	Kettenpanzer-Handschuhe
851	Entersäbel
852	Streitkolben
853	Kriegsbeil
854	Hirtenstab
856	Blaue Ledertasche
857	Großer roter Sack
858	Geringer Heiltrank
859	Feines Stoffhemd
860	Chevaliers-Stiefel
862	Runenverzierter Ring
863	Düsternisschnitter
864	Ritterliches Langschwert
865	Bleistreitkolben
866	Mönchsstab
867	Handschuhe der Heiligen Macht
868	Inbrünstiger Hüter
869	Funkelndes Langschwert
870	Feurige Kriegsaxt
871	Wirbelwindaxt
872	Steinschneider
873	Stab des Jordan
878	Faustgroße Spinndrüse
880	Stab des Schreckens
884	Ghul-Rippe
885	Schwarze Metallaxt
886	Schwarzes Metallkurzschwert
887	Pfund Fleisch
888	Naga-Kampfhandschuhe
889	Ein verstaubter, nie abgeschickter Brief
890	Stab des verrückten Sängers
892	Gnoll-Zauberhandschuhe
893	Terrorwolf-Fangzahn
897	Irrwolf-Armschienen
899	Giftweberzahn
910	Ein niemals zugestellter Brief
911	Eisenholzzweig
914	Große Oger-Kettenrüstung
915	Rotes Seidenkopftuch
916	Eine zerrissene Tagebuchseite
918	Deviat Hautpack
920	Heimtückischer Stachelstreitkolben
921	Eine verblasste Tagebuchseite
922	Dakische Sichel
923	Langschwert
924	Schlägel
925	Dreschflegel
926	Streitaxt
927	Doppelaxt
928	Langstab
929	Heiltrank
932	Teufelsross-Satteltaschen
933	Großer Rucksack
934	Stalvans Schnitter
935	Kurzschwert der Nachtwache
936	Mitternachtskolben
937	Schwarzer Duskwood-Stab
938	Schlammverschmierte Tagebuchseiten
939	Eine blutbefleckte Tagebuchseite
940	Roben der Einsicht
942	Eiskälte-Band
943	Aufseher-Stab
944	Stab des Elementarmagiers
954	Rolle der Kraft
955	Rolle des Intellekts
957	Williams Lieferung
961	Heilkraut
962	Schweinebauch-Pastete
981	Bernices Halskette
983	Rote Leinen-Schärpe
997	Feuerschwert des Verkrüppelns
1006	Messinghalsband
1008	Oft benutztes Schwert
1009	Kompakter Hammer
1010	Knorriger Kurzstab
1011	Scharfe Axt
1013	Eisenniete
1015	Magere Wolfflanke
1017	Gewürztes Wolfkebab
1019	Rotes Leinenkopftuch
1024	Plattenhelm D2 (Test)
1027	Mail Helmet A (Test)
1074	Harte Spinnenbeinspitze
1075	Shadowhide-Anhänger
1076	Defias-Renegaten-Ring
1077	Defias-Magier-Ring
1080	Zähes Kondorfleisch
1081	Knuspriges Spinnenfleisch
1082	Redridge-Gulasch
1083	Glyphe von Azora
1113	Herbeigezaubertes Brot
1114	Herbeigezauberter Roggen
1116	Ring aus reinem Silber
1121	Füße des Luchses
1127	Blitzstrahlbündel
1129	Ghul-Fangzahn
1130	Phiole mit Spinnengiftstoff
1131	Totem des Gegenschlages
1132	Horn des Waldwolfs
1154	Gürtel der Volksmiliz
1155	Rute des Schlafwandlers
1156	Reich mit Juwelen besetzter Ring
1158	Robuste Metallkeule
1159	Miliz-Bauernstecken
1161	Miliz-Kurzschwert
1166	Dented Buckler
1167	Small Targe
1168	Schädelflammenschild
1169	Schwarzschädel-Schild
1171	Gut vernähte Robe
1172	Graysons Fackel
1173	Wettergegerbte Stiefel
1175	Ein Goldzahn
1177	Oil of Olaf
1178	Explosive Rakete
1179	Eiskalte Milch
1180	Rolle der Ausdauer
1181	Rolle des Geistes
1182	Messingbeschlagene Armschienen
1183	Elastischer Handgelenk-Schutz
1187	Stachelhalsband
1189	Vorarbeiterring
1190	Vorarbeiter-Umhang
1191	Tasche mit Murmeln
1193	Banded Buckler
1194	Bastardschwert
1195	Kobold-Bergbauschaufel
1196	Tabar
1197	Riesiger Kolben
1198	Claymore
1200	Großer Holzschild
1201	Glanzloser Langschild
1202	Wallschild
1203	Aegis von Stormwind
1204	Der grüne Turm
1205	Melonensaft
1206	Moosachat
1207	Zackenkolben
1208	Maybells Liebesbrief
1210	Schattenedelstein
1211	Gnoll-Kriegsharnisch
1212	Gnoll-Speichel
1213	Gnoll-Typ-Armschienen
1214	Gnoll-Prügel
1215	Stütz-Gurt
1217	Unbekannte Belohnung
1218	Schwere Gnoll-Kriegskeule
1219	Redridge-Machete
1220	Werwolfaxt
1221	Welpenbauchschuppe
1251	Leinenverband
1252	Oma Stonefields Nachricht
1254	Geringer Feuerstein
1255	Brackwater Bracers
1256	Kristalltangwedel
1257	Unsichtbarkeitsschnaps
1260	Tharil'zuns Kopf
1261	Mitternachtskugel
1262	Fässchen Thunderbrew-Lagerbier
1263	Hirnhacker
1264	Kopfberster
1265	Skorpionstachel
1270	Fein gewebter Umhang
1273	Waldkettenpanzer
1274	Hopfen
1275	Deputy-Kettenpanzerüberzieher
1276	Feuergehärteter Rundschild
1280	Verborgene Kapuze
1282	Funkenmetall-Helmkappe
1283	Verners Notiz
1284	Kiste mit Hufeisen
1287	Riesentarantel-Fangzahn
1288	Großer Giftstoffbeutel
1292	Schlächterbeil
1293	Die Situation von Lakeshire
1294	Die Antwort des Generals
1296	Blackrock-Kolben
1297	Roben des Schattenzauberers
1299	Geringer Gürtel der Spitze
1300	Geringer Stab der Spitze
1302	Schwarzwelpen-Handschuhe
1303	Brückenarbeiter-Handschuhe
1304	Reit-Handschuhe
1306	Wolfmane-Handgelenk-Schutz
1307	Goldabholplan
1309	Oslows Werkzeugkasten
1310	Hose des Schmieds
1314	Ghul-Finger
1315	Lilienkranz
1317	Gehärteter Wurzelstab
1318	Nachtschlepper
1319	Ring des eisernen Willens
1322	Lebertran
1325	Narzissenstrauß
1326	Sautierter Sonnenfisch
1327	Wileys Nachricht
1349	Abercrombies Kiste
1351	Fingerknochen-Armschienen
1353	Shaws Bericht
1355	Hirschleder-Cape
1357	Käpt'n Sanders Schatzkarte
1358	Ein Hinweis auf Käpt'n Sanders Schatz
1359	Mit Löwen bedruckte Handschuhe
1360	Stormwind-Kettenpanzer-Handschuhe
1361	Ein weiterer Hinweis auf Käpt'n Sanders Schatz
1362	Letzter Hinweis auf Käpt’n Sanders Schatz
1364	Struppige Lederweste
1366	Struppige Lederhose
1367	Struppige Lederstiefel
1368	Struppige Lederhandschuhe
1369	Struppiger Ledergürtel
1370	Struppige Lederarmschienen
1372	Struppiger Umhang
1374	Ausgefranste Schuhe
1376	Ausgefranster Umhang
1377	Ausgefranste Handschuhe
1378	Ausgefranste Hose
1380	Ausgefranste Robe
1381	Eine mysteriöse Nachricht
1382	Steinkolben
1383	Stein-Tomahawk
1384	Glanzlose Klinge
1386	Distelholz-Axt
1387	Ghul-Fangzahn
1388	Verbogener Stab
1389	Kobold-Bergbau-Schlaghammer
1391	Riverpaw-Mystikerstab
1394	Treibholzkeule
1395	Lehrlings-Hose
1396	Akolyten-Hose
1399	Magische Kerze
1401	Grünteeblatt
1404	Gezeiten-Glücksbringer
1405	Gischtspeichel-Stab
1406	Perlenüberkrusteter Speer
1407	Solomons Hilfegesuch an Westfall
1408	Stoutmantles Antwort an Solomon
1409	Solomons Hilfegesuch an Darkshire
1410	Ebonlockes Antwort an Solomon
1411	Welker Stab
1412	Kunstloses Bastardschwert
1413	Schwächliches Schwert
1414	Gesprungener Vorschlaghammer
1415	Zimmermanns-Schlaghammer
1416	Rostiges Kriegsbeil
1417	Gehämmerte Streitaxt
1418	Abgenutzter Ledergürtel
1419	Abgenutzte Lederstiefel
1420	Abgenutzte Lederarmschienen
1421	Abgenutzter Balgumhang
1422	Abgenutzte Lederhandschuhe
1423	Abgenutzte Lederhose
1425	Abgenutzte Lederweste
1427	Flickwerkschuhe
1429	Flickwerkumhang
1430	Flickwerkhandschuhe
1431	Flickwerkhose
1433	Flickwerkrüstung
1434	Glimmender Wachsstecken
1436	Grenzer-Kniehosen
1438	Kriegerschild
1440	Gnoll-Schädelberster
1443	Juwelenbesetztes Amulett von Cainwyn
1445	Blackrock-Schulterstücke
1446	Blackrock-Stiefel
1447	Ring der Retter
1448	Blackrock-Stulpen
1449	Schwacher Kanalisierungsring
1451	Flasche mit Zombiesaft
1453	Spektraler Kamm
1454	Axt des Vollstreckers
1455	Blackrock-Heldenaxt
1457	Shadowhide-Kolben
1458	Shadowhide-Schlägel
1459	Shadowhide-Skalpierer
1460	Shadowhide-Zweihandschwert
1461	Töter-Streitaxt
1462	Ring des Schattens
1464	Bussardkralle
1465	Tigerbann
1467	Gefleckter Sonnenfisch
1468	Murloc-Flosse
1469	Krummsäbel von Atun
1470	Murloc-Hauttasche
1473	Riverside-Stab
1475	Kleiner Giftstoffbeutel
1476	Abgeknicktes Spinnengliedmaß
1477	Rolle der Beweglichkeit II
1478	Rolle des Schutzes II
1479	Salmas Topf-Handschuhe
1480	Faust der Volksmiliz
1481	Grimmklaue
1482	Shadowfang
1483	Gesichtzerkracher
1484	Hexenstock
1485	Heugabel
1486	Baumrindenjacke
1487	Herbeigezauberter Pumpernickel
1488	Rächer-Rüstung
1489	Düsternishüllen-Rüstung
1490	Wächter-Talisman
1491	Ring der Präzision
1493	Schwerer Marodeur-Krummsäbel
1495	Kattun-Schuhe
1497	Kattun-Umhang
1498	Kattun-Handschuhe
1499	Kattun-Hose
1501	Kattun-Tunika
1502	Verformter Ledergürtel
1503	Verformte Lederstiefel
1504	Verformte Lederarmschienen
1505	Verformter Umhang
1506	Verformte Lederhandschuhe
1507	Verformte Lederhose
1509	Verformte Lederweste
1510	Schwerer Hammer
1511	Schwert der Bürgerlichen
1512	Kunstlose Streitaxt
1513	Altes Großschwert
1514	Rostiger Kriegshammer
1515	Rauer Holzstab
1516	Abgenutztes Kriegsbeil
1518	Geisterhaarkamm
1519	Bloodscalp-Ohr
1520	Trollschweiß
1521	Schwerfällige Oger-Axt
1522	Kopfjägerspeer
1523	Gewaltige Steinkeule
1524	Skullsplitter-Hauer
1528	Hand voll Hafer
1529	Jade
1532	Schrumpfkopf
1537	Old Blanchys Futtersack
1539	Knorriger Einsiedler-Stab
1547	Schild des Glaubens
1557	Rundschild der Meere
1560	Bluegill-Sandalen
1561	Sammlerrobe
1566	Schneide der Volksmiliz
1596	Geisterhaarfaden
1598	Faulblüte
1602	Sichelaxt
1604	Chromatisches Schwert
1607	Seelenbewahrer
1608	Skullcrusher-Kolben
1613	Geisterjäger-Stab
1624	Skullsplitter-Helm
1625	Exquisiter Flamberg
1630	Zerbrochene Elektrolaterne
1637	Brief an Ello
1639	Grinseraxt
1640	Monströse Kriegsaxt
1645	Mondbeerensaft
1652	Stabile Vesperdose
1656	Übersetzter Brief
1659	Ingenieurs-Handschuhe
1664	Zaubermachtrute
1677	Drachenschuppen-Weste
1678	Schwarze Oger-Kicker
1679	Korg-Fledermaus
1680	Kopffäller
1685	Trollbalgtasche
1686	Gesträubtes Schnurrbarthaar
1687	Einziehbare Klaue
1688	Langer weicher Schwanz
1696	Geschwungene Raptorkralle
1697	Beißender Raptorzahn
1701	Geschwungene Basiliskenklaue
1702	Intaktes Basiliskenrückgrat
1703	Kristallenes Basiliskenrückgrat
1705	Geringer Mondstein
1706	Azuredeep-Splitter
1707	Stormwind-Brie
1708	Süßer Nektar
1710	Großer Heiltrank
1711	Rolle der Ausdauer II
1712	Rolle des Geistes II
1713	Ankh des Lebens
1714	Caliseas Halskette
1715	Polierte Jazeraint-Rüstung
1716	Robe der Weisen
1717	Doppelverbund-Tunika
1718	Basilisken-Balg-Hose
1720	Wirrholzstab
1721	Wikinger-Kriegshammer
1722	Dornstein-Vorschlaghammer
1725	Großer Knappsack
1726	Knochenspeer mit Giftspitze
1727	Schwert des Verfalls
1728	Teebus Langschwert der Loderflammen
1729	Rupfensack der Nachtwache
