ID	Name

1	Große robuste Truhe
2	Joseph Redpaths Monument
3	Kleine Schließkassette
31	Alte Löwenstatue
32	Versunkene Truhe
33	Verschlossene Truhe
34	Alter Henkelkrug
35	Captains Schatzkiste
36	Zerbrochenes Fass
37	Elizas Grabstein
38	Das Erbe der Aspekten
41	Spind des Botschafters
47	GESUCHT: Lieutenant Fangore
52	Der Sturz Gurubashis
54	Das Grabmal des Kaisers
55	Ein halb aufgefressener Körper
56	Rolfs Leichnam
57	Mond über dem Tal
58	Gri'lek der Wanderer
59	Lockerer Erdhaufen
60	GESUCHT: Gath'Ilzogg
61	Ein verwittertes Grab
68	Steckbrief
76	Ein leerer Krug
80	Alte Küstenstraße
81	Späherkuppe
82	Der Wald von Elwynn
83	Der Jangoschacht
85	Duskwood
87	Moonbrook
89	Abtei Northshire
90	Stormwind
93	Westbrook-Garnison
94	Westfall
95	Das Holzfällerlager von Eastvale
96	Redridge
97	Goldshire
101	Stranglethorn
102	Raven Hill
103	Der Gebirgspass der Totenwinde
104	Redridge
106	Westfall
107	Darkshire
113	Duskwood
114	Lakeshire
115	Elwynn
116	Burg Stonewatch
119	Abercrombies Kiste
249	Kiste voll Essen
251	Forschungs-Ausrüstung
254	Zul'Mamwe Trophäen-Schädel
256	GESUCHT: Baron Longshore
257	Verdächtiges Fass
259	Halb vergrabenes Fass
261	Beschädigte Kiste
263	Kurzen-Vorräte
269	Bewachtes Fass mit Thunderbrew-Bier
270	Unbewachtes Fass mit Thunderbrew-Bier
271	Kisten der Minenarbeiterliga
272	MacGranns Fleisch-Spind
276	Schimmerkraut-Korb
287	Buchhalter Herods Aufzeichnungen
288	Buchhalter Herods Geldkasette
290	Furlbrows Kleiderschrank
298	Thelsamar
299	Sengende Schlucht
301	Das Sumpfland
302	Dun Morogh
304	Das Sumpfland
309	Anvilmar
310	Ironforge
311	Loch Modan
312	Kharanos
321	Tilloasträne
324	Kleines Thoriumvorkommen
331	Lockeres Erdreich
333	Antikes Relikt
334	Antikes Relikt
337	Wasserkrug
369	Thunder Ale-Bier
372	Schlachtfeldschild
375	Tirisfal-Kürbis
376	Dun Modr
377	Menethil
378	Loch Modan
381	Grim Batol
386	Metallkolben
388	Arathi Highlands
711	GESUCHT!
759	Die Heilige Quelle
965	Schwarzer Rauch - Maßstab 2
1162	Der Hafen von Menethil
1165	Gunthers Bücher
1166	Alexstons Truhe
1557	Lilliths Esstisch
1558	Kerze der Anrufung
1560	Aufbewahrungstruhe
1561	Versiegelte Holzkiste
1562	Truhe von Marshal Haggard
1571	Staubige Zauberbücher
1585	Sprengladung
1586	Kiste mit Kerzen
1587	Truthahn-Bein
1593	Mit Leichen beladenes Boot
1594	Berards Bücherregal
1599	Flaches Grab
1604	Schwarzer Rauch Emitter
1605	Weißer Rauch Emitter
1607	Große Flammen Emitter
1609	Dragonmaw Katapult
1610	Pyrophor Mineralvorkommen
1617	Silberblatt
1618	Friedensblume
1619	Erdwurzel
1620	Maguskönigskraut
1621	Wilddornrose
1622	Beulengras
1623	Wildstahlblume
1624	Königsblut
1627	Dalaran Kiste
1628	Grabmoos
1630	Brill
1631	Agamands Mühlen
1638	Deathknell
1646	Silberwald
1649	Kloster
1650	Pestländer
1661	Undercity
1668	Dun Algaz
1673	Teufelszapfen
1674	Gnomeregan
1675	Das Grabmal
1676	Pyrewood
1677	Tirisfal
1678	Ambermill
1680	Burg Shadowfang
1685	Schmiede
1690	Pyrewood
1692	Deep Elem Mine
1698	Gilneas
1699	Hillsbrad Ebene
1710	Hillsbrad Vorgebirge
1720	Stanleys Napf
1721	Verschlossene Kugel und Kette
1722	Verschlossene Kugel und Kette
1723	Mudsnout-Blüte
1726	VERMISST: Corporal Keeshan
1727	Fässchen Shindigger-Starkbier
1728	Staubiger Teppich
1729	Besudeltes Fässchen
1730	Besudeltes-Fässchen-Rauch
1731	Kupfervorkommen
1732	Zinnvorkommen
1733	Silbervorkommen
1734	Goldvorkommen
1735	Eisenvorkommen
1736	Eisenlieferung
1738	Syndikat-Dokumente
1739	Syndikat-Dokumente
1740	Syndikat-Dokumente
1744	Amboss
1745	Schmiede
1748	Amboss
1749	Schmiede
