| commands | 1 | Shows Commands |
| help | 1 | Shows help for command |
| announce | u | Sends Msg To All |
| wannounce | u | Sends Widescreen Msg To All |
| appear | v | Teleports to x's position. |
| summon | v | Summons x to your position |
| banchar | b | Bans character x with or without reason |
| unbanchar | b | Unbans character x |
| banreason | b | Shows the reason for ban |
| kick | b | Kicks player from server |
| kill | r | .kill - Kills selected unit. |
| revive | r | Revives you. |
| reviveplr | r | Revives player specified. |
| morph | m | Morphs into model id x. |
| demorph | m | Demorphs from morphed model. |
| mount | m | Mounts into modelid x. |
| dismount | 1 | Dismounts. |
| gm | p | Shows active GM's |
| gmoff | t | Sets GM tag off |
| gmon | t | Sets GM tag on |
| gps | p | Shows Position |
| info | p | Server info |
| worldport | v | No description. |
| save | s | Save's your character |
| saveall | s | Save's all playing characters |
| security | z | No description. |
| start | m | Teleport's you to a starting location |
| levelup | m | No description. |
| additem | m | No description. |
| createguild | l | No description. |
| invincible | j | .invincible - Toggles INVINCIBILITY (mobs won't attack you) |
| invisible | i | .invisible - Toggles INVINCIBILITY and INVISIBILITY (mobs won't attack you and nobody can see you, but they can see your chat messages) |
| resetreputation | n | .resetreputation - Resets reputation to start levels. (use on characters that were made before reputation fixes.) |
| resetlevel | n | .resetlevel - Resets all stats to level 1 of targeted player. DANGEROUS. |
| resetspells | n | .resetspells - Resets all spells to starting spells of targeted player. DANGEROUS. |
| resettalents | n | .resettalents - Resets all talents of targeted player to that of their current level. DANGEROUS. |
| resetskills | n | .resetskills - Resets all skills. |
| learn | m | Learns spell |
| unlearn | m | Unlearns spell |
| learnskill | m | .learnskill <skillid> (optional) <value> <maxvalue> - Learns skill id skillid. |
| advanceskill | m | advanceskill <skillid> <amount, optional, default = 1> - Advances skill line x times.. |
| removeskill | m | .removeskill <skillid> - Removes skill |
| increaseweaponskill | m | .increaseweaponskill <count> - Increase eqipped weapon skill x times (defaults to 1). |
| createaccount | z | .createaccount - Creates account. Format should be .createaccount username password email |
| playerinfo | z | .playerinfo - Displays informations about the selected character (account...) |
| uptime | 1 | Shows server uptime |
| getpos | d | No description. |
| removeauras | m | Removes all auras from target |
| paralyze | b | Roots/Paralyzes the target. |
| unparalyze | b | Unroots/Unparalyzes the target. |
| setmotd | m | Sets MOTD |
| additemset | m | Adds item set to inv. |
| gotrig | v | Warps to areatrigger <id> |
| createinstance | m | Creates instance on map <map> |
| goinstance | m | Joins instance <instance> <x> <y> <z> <optional mapid> |
| exitinstance | m | Exits current instance, return to entry point. |
| dbreload | m | Reloads some of the database tables |
| spawnspiritguide | m | Spawns a spirit guide (params: 1 = horde, 0 = alliance |
| servershutdown | z | Initiates server shutdown in <x> seconds. |
| serverrestart | z | Initiates server restart in <x> seconds. |
| allowwhispers | c | Allows whispers from player <s> while in gmon mode. |
| blockwhispers | c | Blocks whispers from player <s> while in gmon mode. |
| advanceallskills | m | Advances all skills <x> points. |
| killbyplayer | f | Disconnects the player with name <s>. |
| killbyaccount | f | Disconnects the session with account name <s>. |
| unlockmovement | m | Unlocks movement for player. |
| castall | z | Makes all players online cast spell <x>. |
| getrate | f | Gets rate <x>. |
| setrate | f | Sets rate <x>. |
| modperiod | m | Changes period of current transporter. |
| npcfollow | m | Sets npc to follow you |
| nullfollow | m | Sets npc to not follow anything |
| formationlink1 | m | Sets formation master. |
| formationlink2 | m | Sets formation slave with distance and angle |
| formationclear | m | Removes formation from creature |

---------------------------------------------------------------------------
-------------------------
modify
---------------------------------------------------------------------------
-------------------------
| hp | m | Health Points/HP |
| mana | m | Mana Points/MP |
| rage | m | Rage Points |
| energy | m | Energy Points |
| level | m | Level |
| armor | m | Armor |
| holy | m | Holy Resistance |
| fire | m | Fire Resistance |
| nature | m | Nature Resistance |
| frost | m | Frost Resistance |
| shadow | m | Shadow Resistance |
| arcane | m | Arcane Resistance |
| damage | m | Unit Damage Min/Max |
| scale | m | Size/Scale |
| gold | m | Gold/Money/Copper |
| speed | m | Movement Speed |
| nativedisplayid | m | Native Display ID |
| displayid | m | Display ID |
| flags | m | Unit Flags |
| faction | m | Faction Template |
| dynamicflags | m | Dynamic Flags |
| talentpoints | m | Talent Points |
| loyalty | m | Loyalty |
| spirit | m | Spirit |
| boundingraidus | m | Bounding Radius |
| combatreach | m | Combat Reach |
| emotestate | m | NPC Emote State |

---------------------------------------------------------------------------
-------------------------
debug
---------------------------------------------------------------------------
-------------------------
| infront | d | No description. |
| showreact | d | No description. |
| aimove | d | No description. |
| dist | d | No description. |
| face | d | No description. |
| moveinfo | d | No description. |
| setbytes | d | No description. |
| getbytes | d | No description. |
| unroot | d | No description. |
| root | d | No description. |
| landwalk | d | No description. |
| waterwalk | d | No description. |
| castspell | d | .castspell <spellid> - Casts spell on target. |
| castspellne | d | .castspellne <spellid> - Casts spell on target (only plays animations, doesnt handle effects or range/facing/etc. |
