Name	Entsprechender .worldport Befehl
AbyssalSands	.worldport .1. .-8109.34. .-3067.48. .38.9773. .0.
AddlesStead	.worldport .0. .-10992.6. .268.794. .27.5101. .0.
AeriePeak	.worldport .0. .327.814. .-1959.99. .197.724. .0.
AgamandMills	.worldport .0. .2803.27. .847.119. .111.841. .0.
AgmondsEnd	.worldport .0. .-7027.81. .-3330.11. .241.51. .0.
AgolWatha	.worldport .0. .339.304. .-3469.39. .118.433. .0.
AlcazIsland	.worldport .1. .-2657.63. .-4896.05. .21.3726. .0.
Aldrassil	.worldport .1. .10455.7. .798.455. .1346.75. .0.
AlexstonFarmsted	.worldport .0. .-10644.8. .1681.3. .42.0338. .0.
AlgazStation	.worldport .0. .-4909.52. .-2726.76. .329.06. .0.
Altar of Storms A	.worldport .0. .-11272.8. .-2547.59. .102.02. .0.
Altar of Storms B	.worldport .0. .-7613.13. .-761.492. .190.807. .0.
AltarOfStorms	.worldport .0. .-11272.8. .-2547.59. .102.02. .0.
AltarOfStorms	.worldport .0. .-7613.13. .-761.492. .190.807. .0.
AltarOfZul	.worldport .0. .-295.384. .-3459.12. .194.005. .0.
AlteracValley	.worldport .30. .628.53. .-207.67. .39.0523. .0.
AlthersMill	.worldport .0. .-9168.66. .-2726.31. .90.0426. .0.
Ambermill	.worldport .0. .-126.954. .815.624. .66.0224. .0.
AmethAran	.worldport .1. .5732.53. .116.359. .31.5681. .0.
AngorFortress	.worldport .0. .-6380.77. .-3139.89. .301.111. .0.
Anvilmar	.worldport .0. .-6110.8. .388.517. .395.542. .0.
ApocryphansRest	.worldport .0. .-6894.29. .-2465.82. .247.978. .0.
ArathiBasin	.worldport .529. .1181.62. .1183.39. .-45.329. .0.
ArathiHighlands	.worldport .0. .-907.865. .-3534.24. .83.7878. .0.
Arc	.worldport .0. .2953.42. .-4013.08. .101.429. .0.
Arena	.worldport .0. .-13152.9. .342.729. .52.1328. .0.
AridensCamp	.worldport .0. .-10443.6. .-2140.79. .90.7795. .0.
Ashenvale	.worldport .1. .3469.43. .847.62. .5.36476. .0.
Astranaar	.worldport .1. .2745.85. .-378.33. .108.253. .0.
Auberdine	.worldport .1. .6438.69. .485.38. .7.382. .0.
Azshara	.worldport .1. .2717.1. .-5968.91. .106.4. .0.
Azshara	.worldport .1. .4260.73. .-6273.64. .90.2289. .0.
AzsharaNagaCity	.worldport .1. .3546.8. .-5287.96. .109.935. .0.
Azureload Human Town	.worldport .0. .-11033. .-3095.22. .89.8189. .0.
AzurelodeMine	.worldport .0. .-821.604. .-544.654. .15.0387. .0.
Bael Modan	.worldport .1. .-4095.7. .-2305.74. .124.914. .0.
BaelDunDigside	.worldport .1. .-1897.98. .400.675. .134.787. .0.
BaelModan	.worldport .1. .-4074.33. .-2094.19. .93.2936. .0.
BallalRuins	.worldport .0. .-11977.4. .332.254. .3.20626. .0.
BalnirFarmstead	.worldport .0. .2032.01. .-432.954. .35.4329. .0.
Balwark	.worldport .0. .1716.02. .-788.217. .56.844. .0.
BaradinBay	.worldport .0. .-2955. .-1022.21. .10.0919. .0.
Barrens	.worldport .1. .90.1003. .-1943.44. .79.4727. .0.
Barrens Field of Giants	.worldport .1. .-3120.86. .-2327.89. .93.1243. .0.
Barrens Gnoll Outpost	.worldport .1. .-4319.38. .-2110.38. .80.8662. .0.
Barrens The Great Lift	.worldport .1. .-4619.15. .-1850.91. .86.0563. .0.
BarrensMerchantCoast	.worldport .1. .-1719.08. .-3824.99. .12.0836. .0.
BashalAran	.worldport .1. .6735.43. .6.71422. .42.7028. .0.
Beezil's Zepellins Wreck	.worldport .1. .-4006.19. .-3777.83. .40.6804. .0.
BeggarsHaunt	.worldport .0. .-10359.9. .-1531.75. .91.5352. .0.
Behind The Greymane Wall	.worldport .0. .-987.449. .1585.69. .53.4298. .0.
Big Broken Gates	.worldport .0. .-3465.16. .-3727.56. .64.5778. .0.
Big Feralas Ruins	.worldport .1. .-5566.04. .1449.82. .20.1135. .0.
Black Morass Portal	.worldport .269. .-2033.5. .7120.97. .23.5189. .0.
Black Morass Underground Entrance	.worldport .269. .-2014.12. .6583.5. .-154.654. .0.
Black Morass Underground Exit	.worldport .269. .-2061.12. .6635.97. .-144.596. .0.
BlackfathomDeep	.worldport .48. .-152.984. .106.33. .-40.0953. .0.
BlackMorass	.worldport .269. .-2061.12. .6635.97. .-144.596. .0.
BlackphantomDeeps	.worldport .1. .4252.37. .756.974. .-23.0632. .0.
Blackrock Mountain	.worldport .0. .-7317.34. .-1072.33. .277.069. .0.
BlackrockCamp	.worldport .0. .-9713.81. .-3188.39. .58.6835. .0.
BlackrockDepths	.worldport .230. .596.432. .-188.498. .-50. .0.
BlackrockMountain	.worldport .0. .-7317.34. .-1072.33. .277.069. .0.
BlackrockSpire	.worldport .229. .73.5083. .-215.044. .52.3869. .0.
BlackrockStronghold	.worldport .0. .-7728.12. .-1504.22. .132.837. .0.
BlackrokMountain	.worldport .0. .-7813.25. .-1133.33. .214.069. .0.
BlackwingLair	.worldport .469. .-7375.32. .-1240.14. .494.28. .0.
BlackwolfRiver	.worldport .1. .1160.25. .51.3229. .1.072. .0.
BlackwoodDen	.worldport .1. .4641.19. .55.3801. .66.6307. .0.
BlackwoodLake	.worldport .0. .2515.84. .-4251.86. .76.3568. .0.
Bladefist Bay	.worldport .1. .1525.73. .-4968.13. .17.1397. .0.
BlastedLands	.worldport .0. .-11204.5. .-2730.61. .14.8972. .0.
BloodhoofVillage	.worldport .1. .-2366.7. .-345.983. .-1.29313. .0.
BloodsailCompound	.worldport .0. .-13274.4. .769.951. .2.45505. .0.
BloodvenomFalls	.worldport .1. .5280.03. .-713.61. .346.129. .0.
BootyBay	.worldport .0. .-14406.6. .419.353. .22.3907. .0.
BoughShadow	.worldport .1. .3141.82. .-3707.34. .121.05. .0.
BoulderfistHall	.worldport .0. .-1969.08. .-2789.04. .81.2105. .0.
BouldersideRavine	.worldport .1. .-122.391. .388.013. .94.4856. .0.
BrackenwallOrcVillage	.worldport .1. .-3129.38. .-2864.51. .34.8711. .0.
BrackwellPumpkinPatch	.worldport .0. .-9772.44. .-869.693. .39.5096. .0.
BramblebladeRavine	.worldport .1. .-3037.04. .-1050.56. .49.1447. .0.
BrewnallVillage	.worldport .0. .-5368.81. .319.498. .394.123. .0.
Brightwater Lake	.worldport .0. .2685.13. .-198.851. .31.4095. .0.
BrightwoodGrove	.worldport .0. .-10649.7. .-884.01. .50.8196. .0.
Brill	.worldport .0. .2255.5. .288.511. .34.1138. .0.
Bulwark	.worldport .0. .1636.09. .-1011.36. .76.1124. .0.
Caer Darrow The Dark Portal	.worldport .0. .1125.31. .-2541.35. .78.3562. .0.
CaerDarrow	.worldport .0. .1025.59. .-2517. .59.1416. .0.
